model,dataset,sample_id,method,category
llada,math500,math500-00074,rc_pag_history,regression
llada,humaneval,humaneval-00127,rc_pag_history,recovery
dream,gsm8k_test,gsm8k_test-00003,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00029,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00033,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00045,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00047,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00052,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00055,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00073,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00074,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00076,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00084,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00094,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00116,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00127,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00140,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00141,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00142,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00175,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00182,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00194,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00211,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00221,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00222,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00224,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00225,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00226,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00235,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00251,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00262,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00278,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00280,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00303,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00304,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00306,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00316,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00322,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00352,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00356,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00361,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00367,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00385,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00394,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00421,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00447,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00449,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00474,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00477,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00478,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00491,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00512,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00514,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00517,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00521,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00536,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00537,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00559,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00564,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00569,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00591,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00597,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00606,best_nonlearned,recovery
dream,gsm8k_test,gsm8k_test-00622,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00630,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00635,best_nonlearned,regression
dream,gsm8k_test,gsm8k_test-00636,best_nonlearned,recovery
